parent_station,stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,stop_id,stop_desc,stop_name,location_type,platform_code,zone_id
,40.669412,,5416,-75.375574,,,1004,,Courtney at Highland NB,0,,
,40.582591,,4845,-75.510081,,,1281,,Flexler at College NB,0,,
,40.576412,,4900,-75.514227,,,1283,,Flexler at Debbie SB,0,,
,40.576081,,4849,-75.514267,,,1282,,Flexler at Debbie NB,0,,
,40.573795,,4901,-75.515926,,,1288,,Flexler at Lindberg NB,0,,
,40.609345,,1336,-75.475181,,,514,,7th at Liberty,0,,
,40.636988,,4795,-75.446322,,,1579,,Airport Center at Irving,0,,
,40.634951,,4729,-75.446643,,,1578,,Irving at Cedar Hill,0,,
,40.555362,,5936,-75.420544,,,1001,,3500 Corporate Parkway SB,0,,
,40.575235,,5826,-75.609234,,,1573,,2248 Industrial,0,,
,40.568625,,5823,-75.610146,,,1571,,Industrial at Morris,0,,
,40.622504,,1134,-75.397655,,,686,,Broad at 10th EB,0,,
,40.63116,,4730,-75.445619,,,1577,,Irving at American Parkway,0,,
,40.582083,,1376,-75.477605,,,1623,,Lehigh at 12th NB - Allentown,0,,
,40.646088,,6056,-75.473117,,,682,,Bridge at Columbia,0,,
,40.878927,,5616,-75.214629,,,1348,,Garibaldi at Chestnut,0,,
,40.677505,,4974,-75.243925,,,1225,,Freemansburg at Balata WB,0,,
,40.641652,,5040,-75.324758,,,1221,,Freemansburg at 8th EB,0,,
,40.567085,,4094,-75.516422,,,2036,,1245 Professional Park SB,0,,
,40.673382,,4970,-75.249633,,,1243,,Freemansburg at Keane WB,0,,
,40.679134,,5200,-75.212584,,,624,,Berwick at Davis WB,0,,
,40.596501,,4093,-75.487531,,,2035,,15th at Walnut SB,0,,
,40.626149,,5117,-75.370293,,,1371,,Goepp at Linden WB,0,,
,40.626019,,5104,-75.370648,,,1370,,Goepp at Linden EB,0,,
,40.625995,,5105,-75.368951,,,1372,,Goepp at Maple,0,,
,40.611011,,4722,-75.462561,,,1375,,Gordon at 2nd EB,0,,
,40.641324,,6087,-75.47304,,,402,,3rd at Union SB,0,,
,40.641148,,6053,-75.472811,,,401,,3rd at Union NB,0,,
,40.693368,,5398,-75.209398,,,400,,3rd at Spring Garden,0,,
,40.608814,,4724,-75.470626,,,1379,,Gordon at 5th EB,0,,
,40.869129,,5623,-75.207125,,,2033,,Pennsylvania at 1st,0,,
,40.610877,,4490,-75.468635,,,452,,4th at Liberty NB,0,,
,40.612313,,4549,-75.469506,,,409,,4th at Allen SB,0,,
,40.612181,,4489,-75.469252,,,408,,4th at Allen NB,0,,
,40.62225,,4762,-75.465009,,,1343,,Fullerton at Lincoln SB,0,,
,40.605176,,4494,-75.465879,,,454,,4th at Linden NB,0,,
,40.623516,,4940,-75.443359,,,3207,,Irving at Clay NB,0,,
,40.659808,,4956,-75.274682,,,1245,,Freemansburg at Kingview WB,0,,
,40.640159,,6086,-75.472417,,,371,,3rd at American SB,0,,
,40.639859,,6052,-75.472175,,,370,,3rd at American NB,0,,
,40.634102,,4706,-75.470548,,,373,,3rd at Chestnut NB,0,,
,40.637129,,6050,-75.470859,,,375,,3rd at Catasauqua,0,,
,40.634949,,4755,-75.470794,,,374,,3rd at Chestnut SB,0,,
,40.626544,,4620,-75.417989,,,3189_merged_671218,,Union at Eaton EB,0,,
,40.745149,,4189,-75.243194,,,376,,Uhler at Sullivan Trail EB,0,,
,40.625083,,4801,-75.443125,,,3205,,Airport at Livingston SB,0,,
,40.632636,,4756,-75.470472,,,393,,3rd at Park,0,,
,40.642575,,6088,-75.473717,,,391,,3rd at Orchard SB,0,,
,40.642708,,6054,-75.473625,,,390,,3rd at Orchard NB,0,,
